sku,categoria,fabricante,modelo,descricao,faixa_pressao_cmh2o,nivel_ruido_dba,umidificador_incluso,peso_kg,preco_venda_brl,preco_aluguel_mensal_brl,indicacao_clinica,itens_inclusos,garantia_meses,estoque_disponivel
CPAP-RES-AS11,CPAP Auto,ResMed,AirSense 11 AutoSet,"CPAP automático premium com conectividade celular integrada (AirView), tecnologia AutoSet avançada, algoritmo de alívio expiratório EPR e tela touchscreen.",4 a 20,25.0,Sim (HumidAir integrado + ClimateLineAir opcional),1.13,5890.0,290.0,"Apneia obstrutiva moderada a grave. Pacientes que demandam conforto, ajuste automático e telemonitoramento médico contínuo.","CPAP AirSense 11, Umidificador HumidAir, Tubo SlimLine, Filtro ultrafino, Fonte bivolt, Bolsa de transporte",24,45
CPAP-RES-AS10,CPAP Auto,ResMed,AirSense 10 AutoSet 4G,"CPAP automático mais consagrado do mercado global. Conectividade GSM AirView, alívio de pressão EPR e umidificador HumidAir integrado.",4 a 20,26.6,Sim (HumidAir integrado),1.24,4490.0,240.0,"Excelente custo-benefício para tratamento de AOS leve, moderada e grave.","CPAP AirSense 10, Umidificador, Tubo padrão, Filtro, Fonte, Bolsa de transporte",24,60
BIPAP-RES-AC10,BiPAP / BiLevel,ResMed,AirCurve 10 VAuto,"Equipamento binível autoajustável para pacientes com alta necessidade pressórica, apneia complexa ou intolerância ao CPAP convencional.",4 a 25,27.0,Sim (HumidAir integrado),1.25,9800.0,550.0,"Pressões de titulação superiores a 14 cmH2O, apneia mista, insuficiência respiratória ou intolerância a CPAP fixo/auto.","AirCurve 10 VAuto, Umidificador, Tubo ClimateLine, Filtro, Fonte, Bolsa",24,18
CPAP-BMC-G3A20,CPAP Auto,BMC Medical,G3 A20 Auto CPAP,"CPAP automático com pré-aquecimento inteligente do umidificador, conectividade Wi-Fi/QR Code no app PAP Link e design moderno.",4 a 20,26.0,Sim (Integrado com tubo aquecido),1.3,3290.0,190.0,Opção econômica e de alta eficiência para apneia do sono obstrutiva.,"CPAP G3, Umidificador, Tubo aquecido, Filtros, Cartão SD, Bolsa",24,35
CPAP-RES-MINI,CPAP Portátil / Viagem,ResMed,AirMini AutoSet,"O menor CPAP automático do mundo (pesa apenas 300g). Sistema de umidificação anidra HumidX sem água, controle 100% via app Bluetooth.",4 a 20,30.0,Sim (Cápsula HumidX sem água),0.3,5490.0,280.0,Pacientes que viajam com frequência ou buscam máxima discrição e mobilidade.,"AirMini, Fonte de alimentação, Tubo específico, Cápsulas HumidX, Estojo",24,22
MSK-RES-F20,Máscara Facial / Oronasal,ResMed,AirFit F20 Full Face,Máscara facial com almofada de silicone InfinitySeal desenhada para vedação perfeita em altas pressões e respiração pela boca.,4 a 30,21.0,N/A,0.12,890.0,0.0,"Pacientes com respiração oral ou mista, desvio de septo ou pressões de titulação acima de 10 cmH2O.","Armação, Fixador de cabeça com presilhas magnéticas, Almofada InfinitySeal (P, M ou G)",3,120
MSK-RES-N20,Máscara Nasal,ResMed,AirFit N20 Nasal,"Máscara nasal compacta com almofada InfinitySeal, campo de visão livre para leitura e clips magnéticos para fácil remoção.",4 a 20,20.0,N/A,0.09,690.0,0.0,Pacientes que respiram exclusivamente pelo nariz e buscam conforto e estabilidade durante o sono.,"Armação, Fixador de cabeça magnético, Almofada nasal InfinitySeal",3,150
MSK-RES-P10,Máscara Almofadas Nasais (Pillows),ResMed,AirFit P10 Ultra Silenciosa,Máscara de almofadas nasais ultraleve (45g) com ventilação QuietAir de malha tecida que dispersa o ar suavemente.,4 a 15,17.0,N/A,0.045,720.0,0.0,"Pacientes claustrofóbicos, usuários que usam óculos na cama e respiradores nasais puros com pressões baixas a médias.","Arnês QuickFit elástico, 3 tamanhos de almofadas (P, M, G), tubo curto flexível",3,95
MSK-FPH-EVORA,Máscara Facial Híbrida,Fisher & Paykel,Evora Full Face,Máscara facial compacta que se assenta sob o nariz (evita marcas na ponte nasal) e cobre a boca com vedação Dynamic Support.,4 a 25,24.0,N/A,0.11,950.0,0.0,Respiradores orais que sentem desconforto com máscaras oronasais tradicionais na testa/nariz.,Máscara completa com arnês VentiCool respirável,3,40
INS-RES-CLINE,Insumo / Tubo Aquecido,ResMed,Tubo Aquecido ClimateLineAir,"Tubo com sensor térmico na ponta para manter temperatura e umidade constantes, eliminando 100% da condensação de água no tubo.",N/A,0.0,N/A,0.18,390.0,0.0,Indispensável em regiões frias ou pacientes que usam alta umidificação e sofrem com 'gotejamento' de água.,1 Tubo térmico ClimateLineAir,3,200
INS-RES-FLT-HP,Insumo / Filtros,ResMed,Kit 6 Filtros Hipoalergênicos AirSense 10/11,"Filtro de microfibras de alta retenção contra pólen, ácaros, poeira e partículas finas.",N/A,0.0,N/A,0.02,150.0,0.0,Recomendado para todos os pacientes alérgicos. Troca recomendada a cada 30 a 60 dias.,Pacote com 6 unidades seladas,12,350
INS-CPAP-WIPES,Higiene e Acessórios,Luminar Care,Lenços Umedecidos 100% Algodão para Máscara CPAP (62 un),"Lenços sem álcool nem fragrância para limpeza diária de máscaras de silicone, aumentando a vida útil e prevenindo oleosidade e vazamentos.",N/A,0.0,N/A,0.35,75.0,0.0,Higiene diária essencial para evitar infecções e foliculite facial.,Frasco dispenser com 62 lenços biodegradáveis,24,500
